player_id,full_name,country,category,batting_position,date_of_birth,birth_year,age_at_tournament,height_cm,height_verified,height_source,pop_height_birth_cohort,flag,notes,tournament_id,format,tournament_year,era,height_excess,region
r-fredericks-1,Roy Fredericks,WI,BAT,1,1942-11-11,1942,32.6,170.0,False,estimated,170.0,HEIGHT_ESTIMATED,Height estimated from team photos; appeared of average height,odi-1975,ODI,1975,1,0.0,Caribbean
g-greenidge-1,Gordon Greenidge,WI,BAT,2,1951-05-01,1951,24.1,180.0,False,estimated,171.0,HEIGHT_ESTIMATED,Height estimated from photos; known to be tall and well-built opener,odi-1975,ODI,1975,1,9.0,Caribbean
a-kallicharran-1,Alvin Kallicharran,WI,BAT,3,1949-03-21,1949,26.2,163.0,False,estimated,170.5,HEIGHT_ESTIMATED,Known to be short and compact batsman; estimated from photos,odi-1975,ODI,1975,1,-7.5,Caribbean
r-kanhai-1,Rohan Kanhai,WI,BAT,4,1935-12-26,1935,39.5,170.0,False,estimated,170.0,HEIGHT_ESTIMATED,Height estimated from photos; medium build,odi-1975,ODI,1975,1,0.0,Caribbean
c-lloyd-1,Clive Lloyd,WI,BAT,5,1944-08-31,1944,30.8,191.0,True,ESPN_verified,170.0,,"Captain; famously tall at 6'3""; Man of the Match in final with 102 off 85 balls",odi-1975,ODI,1975,1,21.0,Caribbean
i-richards-1,Viv Richards,WI,BAT,6,1952-03-07,1952,23.3,178.0,True,ESPN_verified,171.0,,"Famous run out of 3 batsmen in final; 5'10"" widely reported",odi-1975,ODI,1975,1,7.0,Caribbean
d-murray-1,Deryck Murray,WI,WK,7,1943-05-20,1943,32.1,175.0,False,estimated,170.0,HEIGHT_ESTIMATED,Height estimated from photos; appeared medium height,odi-1975,ODI,1975,1,5.0,Caribbean
b-julien-1,Bernard Julien,WI,FAST,8,1950-03-13,1950,25.2,183.0,False,estimated,170.5,HEIGHT_ESTIMATED,Left-arm fast-medium all-rounder; estimated from photos as tall build,odi-1975,ODI,1975,1,12.5,Caribbean
k-boyce-1,Keith Boyce,WI,FAST,9,1943-10-11,1943,31.7,183.0,False,estimated,170.0,HEIGHT_ESTIMATED,Fast bowler and hard-hitting lower-order bat; estimated from photos,odi-1975,ODI,1975,1,13.0,Caribbean
v-holder-1,Vanburn Holder,WI,FAST,10,1945-10-08,1945,29.7,188.0,False,estimated,170.0,HEIGHT_ESTIMATED,Tall fast-medium bowler; height estimated from team photos,odi-1975,ODI,1975,1,18.0,Caribbean
a-roberts-1,Andy Roberts,WI,FAST,11,1951-01-29,1951,24.4,183.0,True,ESPN_verified,171.0,,"First of the great West Indian fast bowlers; 6'0"" widely documented",odi-1975,ODI,1975,1,12.0,Caribbean
a-turner-1,Alan Turner,AUS,BAT,1,1950-07-23,1950,24.9,178.0,False,estimated,175.0,HEIGHT_ESTIMATED,Height estimated from team photos; appeared slightly above average,odi-1975,ODI,1975,1,3.0,Oceanian
r-mccosker-1,Rick McCosker,AUS,BAT,2,1946-12-11,1946,28.5,180.0,False,estimated,175.0,HEIGHT_ESTIMATED,Height estimated from photos,odi-1975,ODI,1975,1,5.0,Oceanian
i-chappell-1,Ian Chappell,AUS,BAT,3,1943-09-26,1943,31.8,180.0,True,ESPN_verified,174.5,,"Captain; 5'11"" widely reported",odi-1975,ODI,1975,1,5.5,Oceanian
g-chappell-1,Greg Chappell,AUS,BAT,4,1948-08-07,1948,26.8,183.0,True,ESPN_verified,175.0,,"Tall elegant batsman; 6'0"" well documented",odi-1975,ODI,1975,1,8.0,Oceanian
d-walters-1,Doug Walters,AUS,BAT,5,1945-12-21,1945,29.5,175.0,False,estimated,175.0,HEIGHT_ESTIMATED,Medium build; known as compact batsman,odi-1975,ODI,1975,1,0.0,Oceanian
r-marsh-1,Ross Edwards,AUS,BAT,6,1942-12-01,1942,32.5,175.0,False,estimated,174.5,HEIGHT_ESTIMATED,Height estimated from photos; medium build batsman,odi-1975,ODI,1975,1,0.5,Oceanian
r-marsh-2,Rod Marsh,AUS,WK,7,1947-11-04,1947,27.6,179.0,True,ESPN_verified,175.0,,"5'10.5"" widely documented; iconic Australian wicketkeeper",odi-1975,ODI,1975,1,4.0,Oceanian
g-gilmour-1,Gary Gilmour,AUS,FAST,8,1951-06-26,1951,23.9,185.0,False,estimated,175.0,HEIGHT_ESTIMATED,Left-arm fast-medium; famous 6/14 in semi-final; tall build estimated from photos,odi-1975,ODI,1975,1,10.0,Oceanian
m-walker-1,Max Walker,AUS,FAST,9,1948-09-12,1948,26.8,191.0,True,ESPN_verified,175.0,,"6'3"" widely documented; known as 'Tangles' for unusual bowling action",odi-1975,ODI,1975,1,16.0,Oceanian
d-lillee-1,Dennis Lillee,AUS,FAST,10,1949-07-18,1949,25.9,183.0,True,ESPN_verified,175.0,,"6'0"" widely documented; premier fast bowler of the era",odi-1975,ODI,1975,1,8.0,Oceanian
j-thomson-1,Jeff Thomson,AUS,FAST,11,1950-08-16,1950,24.8,183.0,True,ESPN_verified,175.0,,"6'0"" widely documented; one of the fastest bowlers in history",odi-1975,ODI,1975,1,8.0,Oceanian
d-amiss-1,Dennis Amiss,ENG,BAT,1,1943-04-07,1943,32.2,183.0,False,estimated,174.0,HEIGHT_ESTIMATED,Height estimated from photos; tall opening batsman; scored 137 in semi-final,odi-1975,ODI,1975,1,9.0,European
b-wood-1,Barry Wood,ENG,BAT,2,1942-12-26,1942,32.5,175.0,False,estimated,174.0,HEIGHT_ESTIMATED,Height estimated from photos; medium-build opening all-rounder,odi-1975,ODI,1975,1,1.0,European
k-fletcher-1,Keith Fletcher,ENG,BAT,3,1944-05-20,1944,31.1,178.0,False,estimated,174.0,HEIGHT_ESTIMATED,Height estimated from photos,odi-1975,ODI,1975,1,4.0,European
m-denness-1,Mike Denness,ENG,BAT,4,1940-12-01,1940,34.5,180.0,False,estimated,174.0,HEIGHT_ESTIMATED,Captain; height estimated from photos,odi-1975,ODI,1975,1,6.0,European
f-hayes-1,Frank Hayes,ENG,BAT,5,1946-12-06,1946,28.5,178.0,False,estimated,174.0,HEIGHT_ESTIMATED,Height estimated from photos,odi-1975,ODI,1975,1,4.0,European
t-greig-1,Tony Greig,ENG,BAT,6,1946-10-06,1946,28.7,196.0,True,ESPN_verified,174.0,CATEGORY_AMBIGUOUS,"6'5"" well documented; all-rounder who bowled medium pace and off-spin; classified as BAT due to batting position 6",odi-1975,ODI,1975,1,22.0,European
a-knott-1,Alan Knott,ENG,WK,7,1946-04-09,1946,29.2,170.0,False,estimated,174.0,HEIGHT_ESTIMATED,"Known as a relatively short, agile keeper; 5'7"" estimated",odi-1975,ODI,1975,1,-4.0,European
c-old-1,Chris Old,ENG,FAST,8,1948-12-22,1948,26.5,183.0,False,estimated,174.5,HEIGHT_ESTIMATED,"Right-arm fast-medium; estimated from photos as around 6'0""",odi-1975,ODI,1975,1,8.5,European
